"","lat","lon","time","group","day"
"163",-37.8230514,144.969149,14.0939688888611,1,17718
"164",-37.82306,144.9691473,14.1031102777633,1,17718
"165",-37.8230457,144.9691441,14.1152649999713,1,17718
"167",-37.8230456,144.969145,14.1483297222294,1,17718
"168",-37.822988,144.9691406,14.1594472222496,1,17718
"169",-37.8230446,144.9691445,14.1653152777581,1,17718
"170",-37.8230435,144.9691445,14.1823236111086,1,17718
"171",-37.8230332,144.9691422,14.2003513888922,1,17718
"172",-37.8230333,144.9691422,14.2059225000266,1,17718
"173",-37.8230393,144.9691549,14.2151775000384,1,17718
"174",-37.8230252,144.9691432,14.2226441667008,1,17718
"175",-37.8229434,144.9691414,14.2677105555194,1,17718
"176",-37.8229578,144.9691385,14.2788297222287,1,17718
"177",-37.8229434,144.9691428,14.2897880555829,1,17718
"178",-37.8229455,144.9691412,14.3014647222299,1,17718
"179",-37.8229558,144.9691859,14.3174561111373,1,17718
"180",-37.8229549,144.9691861,14.3283313889115,1,17718
"181",-37.8229549,144.969186,14.3340666666918,1,17718
"183",-37.8230151,144.9692278,14.3690980555839,1,17718
"184",-37.823034,144.9691887,14.3800663888978,1,17718
"186",-37.8227915,144.9691768,14.4212416666269,1,17718
"187",-37.8227427,144.969177,14.456277222198,1,17718
"188",-37.8225825,144.9689033,14.4866224999714,1,17718
"189",-37.8217765,144.9682393,15.026109722181,1,17718
"190",-37.8220857,144.9687868,15.0884208333155,1,17718
"191",-37.8226431,144.969084,15.1463686110801,1,17718
"192",-37.8226817,144.969251,15.1559469444037,1,17718
"193",-37.8228794,144.9693346,15.2299502777751,1,17718
"194",-37.8228729,144.9693262,15.235555555555,1,17718
"195",-37.8228679,144.9693103,15.2485483333585,1,17718
"196",-37.8237037,144.9696161,15.2867358333315,1,17718
"199",-37.8230165,144.9693902,15.3709824999678,1,17718
"200",-37.823127,144.9693735,15.4400380555307,1,17718
"201",-37.8231291,144.9693781,15.4459227777552,1,17718
"202",-37.8231283,144.9693696,15.4510252778127,1,17718
"203",-37.8231349,144.969373,15.4579233333643,1,17718
"204",-37.8231347,144.9693528,15.4691280555562,1,17718
"205",-37.8230847,144.9693877,15.480981944449,1,17718
"206",-37.8231937,144.9692483,15.4874305555422,1,17718
"207",-37.823223,144.9692072,15.4933961110946,1,17718
"208",-37.8232636,144.9692378,15.4993983333698,1,17718
"209",-37.8232343,144.9692038,15.5337469444785,1,17718
"210",-37.8232343,144.9692038,15.5677138888568,1,17718
"211",-37.8232472,144.9691803,15.5720566666569,1,17718
"212",-37.8231847,144.9687745,15.6330033333506,1,17718
"213",-37.8231526,144.9688006,15.6415269444697,1,17718
"214",-37.8224768,144.9683229,15.6752127778018,1,17718
"215",-37.8224708,144.9686701,15.7088388888515,1,17718
"216",-37.8224342,144.9685693,15.7291280555655,1,17718
"217",-37.822411,144.9688207,15.7402691667085,1,17718
"218",-37.8226406,144.9689486,15.7769758333161,1,17718
"219",-37.822601,144.9689114,15.807535833359,1,17718
"220",-37.8226129,144.9689553,15.8396172222565,1,17718
"221",-37.8225304,144.9692053,15.8818683333229,1,17718
"222",-37.822641,144.9689595,15.9152150000155,1,17718
"223",-37.8226385,144.9689096,15.9499672222009,1,17718
"224",-37.822698,144.9691591,15.9833102777775,1,17718
"225",-37.8227432,144.9691945,16.0139405555383,1,17718
"226",-37.8227319,144.9691784,16.0199125000217,1,17718
"227",-37.8226998,144.9691871,16.0372038888454,1,17718
"228",-37.8227051,144.9691721,16.0428008333547,1,17718
"229",-37.8216656,144.9690603,16.0765686111408,1,17718
"230",-37.8210959,144.9684469,16.1299925000058,1,17718
"231",-37.821024,144.9686491,16.1513244444504,1,17718
"232",-37.820575,144.9686019,16.192798055592,1,17718
"233",-37.8204661,144.9685276,16.2267750000174,1,17718
"234",-37.820539,144.9686414,16.2548997222621,1,17718
"235",-37.820539,144.9686414,16.2606586110778,1,17718
"236",-37.8205995,144.9678762,16.293871666654,1,17718
"237",-37.8183732,144.9684627,16.3274738889304,1,17718
"238",-37.818371,144.9676918,16.3611433333717,1,17718
"239",-37.8174903,144.9673484,16.3975413888693,1,17718
"240",-37.8165059,144.966874,16.4323072222178,1,17718
"241",-37.8158653,144.9668806,16.466707777814,1,17718
"242",-37.8158439,144.9664524,16.5007047222462,1,17718
"243",-37.8158427,144.9664524,16.5368436111312,1,17718
"244",-37.8158398,144.9664573,16.5701825000287,1,17718
"245",-37.8158398,144.9664573,16.6036777777772,1,17718
"246",-37.8158398,144.9664573,16.6370169444126,1,17718
"247",-37.8158416,144.9664523,16.6582772221882,1,17718
"248",-37.8158434,144.9664458,16.6924544444191,1,17718
"249",-37.8158434,144.9664445,16.726240555523,1,17718
"250",-37.8158431,144.9664457,16.7598555555742,1,17718
"251",-37.8158431,144.9664457,16.7939863888605,1,17718
"252",-37.815846,144.9664392,16.8278777778032,1,17718
"253",-37.815846,144.9664392,16.8408394444268,1,17718
"254",-37.815846,144.9664392,16.8478583333199,1,17718
"255",-37.815846,144.9664392,16.886529444484,1,17718
"256",-37.8158431,144.9664476,16.92566638891,1,17718
"257",-37.8158431,144.9664476,16.9332813888905,1,17718
"258",-37.8158431,144.9664476,16.9380363888631,1,17718
"259",-37.8158431,144.9664538,16.9451838888926,1,17718
"260",-37.8158449,144.9664429,16.9507486110961,1,17718
"261",-37.8158424,144.9664474,16.9563313888793,1,17718
"262",-37.8158455,144.9664597,16.9605127777613,1,17718
"263",-37.815839,144.9664556,16.9655477777414,1,17718
"264",-37.8158426,144.9664471,17.0025725000305,1,17718
"265",-37.8158407,144.9664551,17.0081377777969,1,17718
"266",-37.8158421,144.966455,17.0143925000157,1,17718
"267",-37.815843,144.9664501,17.0273408333014,1,17718
"268",-37.8158426,144.9664524,17.0349341666733,1,17718
"269",-37.8158413,144.9664533,17.046079999971,1,17718
"270",-37.8158271,144.9664888,17.0622852777597,1,17718
"271",-37.8157881,144.9664729,17.0656194444746,1,17718
"272",-37.8158292,144.9664581,17.0664572222449,1,17718
"273",-37.815913,144.9655137,17.084208055574,1,17718
"274",-37.8159047,144.9638056,17.1221144444135,1,17718
"275",-37.8155258,144.9635975,17.1273147222528,1,17718
"276",-37.8145121,144.9633518,17.1606588888681,1,17718
"277",-37.8135943,144.9630107,17.2308383333148,1,17718
"278",-37.8134699,144.9631979,17.2352127777704,1,17718
"279",-37.8135923,144.9629895,17.2860874999897,1,17718
"280",-37.8136883,144.9629359,17.2932658333739,1,17718
"281",-37.81359,144.9629554,17.3031463888765,1,17718
"282",-37.8137006,144.9634195,17.3384358333424,1,17718
"283",-37.8137005,144.9633882,17.3435938889161,1,17718
"284",-37.8137029,144.9634077,17.3803155555506,1,17718
"285",-37.8137457,144.9634091,17.4151991666877,1,17718
"286",-37.8138778,144.9641936,17.4489727777545,1,17718
"287",-37.8134342,144.9657142,17.4758333333302,1,17718
"288",-37.8134783,144.9657235,17.4764494444244,1,17718
"289",-37.8134252,144.9657655,17.4802777777659,1,17718
"290",-37.8135736,144.9658093,17.4844444444461,1,17718
"291",-37.8149461,144.9663314,17.5234072221792,1,17718
"292",-37.8162815,144.9670324,17.5592313888483,1,17718
"293",-37.8167009,144.9669032,17.5790466666804,1,17718
"294",-37.8168868,144.9672924,17.583416388894,1,17718
"295",-37.8171749,144.9674195,17.5886888888781,1,17718
"296",-37.8177579,144.9660938,17.6191938888805,1,17718
"297",-37.8174042,144.9658796,17.6528299999773,1,17718
"298",-37.8172878,144.9658691,17.6864183333528,1,17718
"299",-37.8171962,144.9657513,17.72001083332,1,17718
"300",-37.8171661,144.9657633,17.728526666644,1,17718
"301",-37.8172037,144.9657562,17.7652730555274,1,17718
"302",-37.8171559,144.9657345,17.7982847222593,1,17718
"303",-37.8171319,144.9657942,17.8032933333016,1,17718
"304",-37.8172186,144.9657607,17.8380352777895,1,17718
"305",-37.8172255,144.9657644,17.8717188888695,1,17718
"306",-37.8171986,144.9657776,17.9053155555157,1,17718
"307",-37.8171519,144.9658007,17.9194458333659,1,17718
"308",-37.8172192,144.9657615,17.9561547222256,1,17718
"309",-37.8172192,144.9657615,17.9938877777604,1,17718
"310",-37.8172044,144.9657401,18.0288827777549,1,17718
"311",-37.8172044,144.9657401,18.0822200000111,1,17718
"312",-37.8171844,144.9657774,18.1074166666949,1,17718
"313",-37.8171532,144.9658085,18.1173008333135,1,17718
"314",-37.8171506,144.9657304,18.1219444444287,1,17718
"315",-37.8171146,144.9658027,18.1268380555848,1,17718
"316",-37.8171688,144.9657558,18.1389019444177,1,17718
"317",-37.8171302,144.9658107,18.1443100000324,1,17718
"318",-37.8171985,144.9658119,18.1819391666795,1,17718
"319",-37.8177357,144.9663557,18.2154075000144,1,17718
"320",-37.8172742,144.9670825,18.2503616666945,1,17718
"321",-37.8166108,144.9669731,18.2839774999593,1,17718
"322",-37.8156364,144.9662593,18.3201641666528,1,17718
"323",-37.8158804,144.965094,18.3574355555174,1,17718
"324",-37.8158946,144.9644285,18.3913736111426,1,17718
"325",-37.8158271,144.9643929,18.4252702778031,1,17718
"326",-37.8158466,144.9644027,18.4435552777722,1,17718
"327",-37.8159595,144.9645703,18.483821388887,1,17718
"328",-37.8160785,144.9645069,18.5205683333334,1,17718
"329",-37.8160785,144.9645069,18.560132222221,1,17718
"330",-37.8160639,144.964559,18.6021116666379,1,17718
"331",-37.8160639,144.964559,18.6500169444189,1,17718
"332",-37.8160629,144.9645939,18.6911730555294,1,17718
"333",-37.8160629,144.9645939,18.7283391666424,1,17718
"334",-37.8159888,144.9646759,18.7433811110968,1,17718
"335",-37.8159888,144.9646759,18.7853027777455,1,17718
"336",-37.8159888,144.9646759,18.8208391666994,1,17718
"337",-37.8160522,144.9645805,18.8325227777532,1,17718
"338",-37.8160522,144.9645805,18.866407500027,1,17718
"339",-37.8160522,144.9645805,18.9258449999907,1,17718
"340",-37.8160639,144.964559,18.9630113889289,1,17718
"341",-37.8160639,144.964559,18.9963488888752,1,17718
"342",-37.8160736,144.9645607,19.0134702777723,1,17718
"343",-37.8160736,144.9645607,19.0638355555129,1,17718
"344",-37.8160736,144.9645607,19.1069936111162,1,17718
"345",-37.8160639,144.964559,19.1653452777828,1,17718
"346",-37.8160639,144.964559,19.1906613888568,1,17718
"347",-37.8160639,144.964559,19.2400272222585,1,17718
"348",-37.8160639,144.964559,19.2847547222627,1,17718
"349",-37.8160458,144.9645829,19.3695508333039,1,17718
"350",-37.8160678,144.9645685,19.4031730555871,1,17718
"351",-37.8160737,144.9645616,19.436541666626,1,17718
"352",-37.816075,144.9645859,19.46986666671,1,17718
"353",-37.816075,144.9645859,19.5109380555514,1,17718
"354",-37.816075,144.9645859,19.5612075000245,1,17718
"355",-37.8159888,144.9646759,19.59778250003,1,17718
"356",-37.8159888,144.9646759,19.6364574999607,1,17718
"357",-37.8160586,144.9645798,19.6445844444097,1,17718
"358",-37.8160586,144.9645798,19.6791116666282,1,17718
"359",-37.8160586,144.9645798,19.7128661110764,1,17718
"360",-37.8160631,144.9645257,19.7304105555813,1,17718
"361",-37.8160631,144.9645257,19.7821591666434,1,17718
"362",-37.8160631,144.9645257,19.820776111068,1,17718
"363",-37.8160252,144.9646186,19.8546511111199,1,17718
"364",-37.8160252,144.9646186,19.8882588888519,1,17718
"365",-37.816025,144.9646185,19.9051427777449,1,17718
"366",-37.816025,144.9646185,19.9435516666563,1,17718
"367",-37.816025,144.9646185,19.9769061111438,1,17718
"368",-37.8158261,144.9643929,19.9888513888873,1,17718
"369",-37.8162249,144.9643362,20.0274880555808,1,17718
"373",-37.8153855,144.9634503,20.0611005555547,1,17718
"374",-37.8153898,144.9638549,20.0980533333495,1,17718
"376",-37.8153512,144.9640718,20.1327597222407,1,17718
"378",-37.8154733,144.9638806,20.166431666672,1,17718
"380",-37.8149405,144.9631827,20.2022222222586,1,17718
"381",-37.8150782,144.9640964,20.2063027778058,1,17718
"382",-37.8149926,144.9641767,20.240286111075,1,17718
"383",-37.8149918,144.9641716,20.2747430555755,1,17718
"384",-37.8149918,144.9641716,20.3162466666836,1,17718
"385",-37.8149918,144.9641716,20.3524713888764,1,17718
"386",-37.8149918,144.9641716,20.3866377777595,1,17718
"387",-37.8149924,144.9641752,20.3999897222093,1,17718
"388",-37.8149939,144.9641762,20.4333663888683,1,17718
"389",-37.8149966,144.9641757,20.4621866666712,1,17718
"390",-37.8149927,144.964176,20.4668175000115,1,17718
"391",-37.8149925,144.9641783,20.5060894444177,1,17718
"392",-37.8149923,144.9641764,20.5400116666278,1,17718
"393",-37.8149923,144.964178,20.5736352777749,1,17718
